time,seconds_elapsed,steps
1700006753470807300,2.481807373046875,2
1700006756016773400,5.0277734375,5
1700006758562737400,7.5737373046875,9
1700006761108700200,10.1197001953125,12
1700006763654660400,12.665660400390625,15
1700006766200623000,15.211623046875,19
1700006768746583600,17.75758349609375,22
1700006771292543500,20.30354345703125,26
1700006773838503400,22.84950341796875,30
1700006776384460500,25.39546044921875,33
1700006778930415400,27.941415283203124,38
1700006781476370200,30.4873701171875,41
1700006784022324000,33.033323974609374,43
1700006786568276500,35.5792763671875,43
1700006789114226400,38.125226318359374,43
1700006791660176600,40.6711767578125,53
1700006794206125800,43.21712573242188,57
1700006796752074200,45.76307421875,60
1700006799298020000,48.30902001953125,63
1700006801843966500,50.854966552734375,67
1700006804389908700,53.40090869140625,71
1700006806935851800,55.94685180664062,75
1700006809481792800,58.49279272460937,78
1700006812027733200,61.03873315429688,80
1700006814573672200,63.58467211914063,84
1700006817119609900,66.13060986328125,89
1700006819665546000,68.6765458984375,89
1700006822211482000,71.22248217773438,93
1700006824757415700,73.76841577148437,97
1700006827303350300,76.31435034179688,101
1700006829849282300,78.8602822265625,104
1700006832395213600,81.40621362304688,104
1700006834941145300,83.95214526367188,108
1700006837487075300,86.49807543945313,112
1700006840033003500,89.04400341796875,116
1700006842578933000,91.58993310546875,120
1700006845124860700,94.13586059570312,122
1700006847670788900,96.68178881835938,126
1700006850216715800,99.2277158203125,131
1700006852762642400,101.77364233398437,135
1700006855308568600,104.31956860351562,139
1700006857854494500,106.86549438476563,144
1700006860400420600,109.41142065429688,147
1700006862946345700,111.957345703125,151
1700006865492269600,114.50326953125,155
1700006868038195000,117.04919482421874,160
1700006870584118000,119.59511791992188,162
1700006873130042000,122.1410419921875,162
1700006875675966200,124.68696630859375,162
1700006878221890600,127.232890625,170
1700006880767819500,129.77881958007814,174
1700006883313748500,132.32474853515626,178
1700006885859682600,134.8706826171875,182
1700006888405622300,137.41662231445312,186
1700006890951565000,139.96256494140624,189
1700006893497512400,142.50851245117187,193
1700006896043463200,145.05446313476563,197
1700006898589419800,147.60041967773438,201
1700006901135379500,150.14637939453124,204
1700006903681343500,152.69234350585938,208
1700006906227310600,155.238310546875,212
1700006908773279700,157.78427978515626,216
1700006911319251500,160.33025146484374,220
1700006913865228300,162.87622827148436,225
1700006916411207400,165.42220751953124,228
1700006918957187300,167.96818725585936,233
1700006921503168000,170.51416796875,238
1700006924049148200,173.06014819335937,243
1700006926595127000,175.606126953125,246
1700006929141103600,178.152103515625,249
